date,skin,price
2026-02-19,AK-47 | Slate (Field-Tested),35.5
2026-02-19,AK-47 | Ice Coaled (Field-Tested),37.0
2026-02-19,USP-S | Cortex (Field-Tested),31.24
2026-02-19,Glock-18 | Vogue (Field-Tested),32.0
2026-02-19,AK-47 | Slate (Field-Tested),35.02
2026-02-19,AK-47 | Slate (Field-Tested),35.02
2026-02-19,AK-47 | Ice Coaled (Field-Tested),37.0
2026-02-19,M4A1-S | Night Terror (Field-Tested),6.53
2026-02-19,USP-S | Cortex (Field-Tested),31.24
2026-02-19,Glock-18 | Vogue (Field-Tested),32.2
2026-02-19,AK-47 | Slate (Field-Tested),34.34
2026-02-19,AK-47 | Ice Coaled (Field-Tested),38.8
2026-02-19,M4A1-S | Night Terror (Field-Tested),6.53
2026-02-19,USP-S | Cortex (Field-Tested),31.24
2026-02-19,Glock-18 | Vogue (Field-Tested),32.16
2026-02-20,AK-47 | Slate (Field-Tested),38.32
2026-02-20,AK-47 | Ice Coaled (Field-Tested),38.27
2026-02-20,M4A1-S | Night Terror (Field-Tested),6.21
2026-02-20,USP-S | Cortex (Field-Tested),34.53
2026-02-20,Glock-18 | Vogue (Field-Tested),29.82
2026-02-20,AK-47 | Slate (Field-Tested),39.12
2026-02-20,AK-47 | Ice Coaled (Field-Tested),37.07
2026-02-20,M4A1-S | Night Terror (Field-Tested),6.38
2026-02-20,USP-S | Cortex (Field-Tested),32.54
2026-02-20,Glock-18 | Vogue (Field-Tested),30.52
2026-03-05T12:40:15Z,StatTrak™ MP7 | Bloodsport (Field-Tested),145.88,304
2026-03-05T12:40:15Z,StatTrak™ USP-S | Ticket to Hell (Minimal Wear),21.17,244
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Night Terror (Field-Tested),13.75,222
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Serpent Strike (Minimal Wear),21.66,212
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Serpent Strike (Factory New),42.35,191
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Shinobu (Field-Tested),77.51,180
2026-03-05T12:40:15Z,StatTrak™ USP-S | Ticket to Hell (Field-Tested),9.27,178
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Black Lotus (Field-Tested),124.4,174
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Night Terror (Minimal Wear),20.74,173
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Moonrise (Field-Tested),11.05,168
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Night Terror (Factory New),51.67,168
2026-03-05T12:40:15Z,StatTrak™ USP-S | PC-GRN (Minimal Wear),11.78,168
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Slate (Field-Tested),73.4,160
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),10.19,148
2026-03-05T12:40:15Z,StatTrak™ USP-S | PC-GRN (Field-Tested),3.87,145
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Vogue (Field-Tested),38.79,144
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Slate (Minimal Wear),146.55,139
2026-03-05T12:40:15Z,StatTrak™ USP-S | Ticket to Hell (Factory New),62.66,138
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Black Lotus (Minimal Wear),182.02,135
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Ice Coaled (Field-Tested),66.1,134
2026-03-05T12:40:15Z,StatTrak™ USP-S | Jawbreaker (Field-Tested),74.99,133
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Liquidation (Minimal Wear),118.2,133
2026-03-05T12:40:15Z,StatTrak™ AWP | Duality (Field-Tested),42.59,131
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Choppa (Field-Tested),2.15,130
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Choppa (Minimal Wear),6.75,129
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear),23.14,128
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Moonrise (Minimal Wear),20.74,121
2026-03-05T12:40:15Z,StatTrak™ SSG 08 | Abyss (Minimal Wear),17.67,121
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Serpent Strike (Field-Tested),7.92,121
2026-03-05T12:40:15Z,StatTrak™ AWP | Chromatic Aberration (Field-Tested),160.91,120
2026-03-05T12:40:15Z,StatTrak™ USP-S | Jawbreaker (Minimal Wear),146.92,120
2026-03-05T12:40:15Z,StatTrak™ Five-SeveN | Flame Test (Minimal Wear),3.38,115
2026-03-05T12:40:15Z,StatTrak™ USP-S | Black Lotus (Field-Tested),31.79,115
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Shinobu (Minimal Wear),151.22,115
2026-03-05T12:40:15Z,StatTrak™ Five-SeveN | Flame Test (Field-Tested),1.35,114
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Searing Rage (Field-Tested),81.99,114
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),6.63,111
2026-03-05T12:40:15Z,StatTrak™ USP-S | Cortex (Field-Tested),52.53,108
2026-03-05T12:40:15Z,StatTrak™ MP7 | Bloodsport (Minimal Wear),190.12,106
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Printstream (Field-Tested),380.8,106
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear),14.24,105
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Ice Coaled (Minimal Wear),125.32,103
2026-03-05T12:40:15Z,StatTrak™ USP-S | Printstream (Field-Tested),438.37,101
2026-03-05T12:40:15Z,StatTrak™ MAC-10 | Sakkaku (Field-Tested),12.4,101
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Uncharted (Field-Tested),18.9,100
2026-03-05T12:40:15Z,StatTrak™ AWP | Atheris (Field-Tested),60.08,100
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),16.75,99
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Elite Build (Field-Tested),45.11,95
2026-03-05T12:40:15Z,StatTrak™ P250 | Supernova (Minimal Wear),16.88,95
2026-03-05T12:40:15Z,StatTrak™ MP5-SD | Kitbash (Field-Tested),3.8,95
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Moonrise (Factory New),38.11,94
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Vogue (Minimal Wear),71.8,94
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Temukau (Field-Tested),203.5,94
2026-03-05T12:40:15Z,StatTrak™ AWP | Duality (Minimal Wear),71.13,93
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Tooth Fairy (Field-Tested),46.09,92
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Head Shot (Field-Tested),205.1,92
2026-03-05T12:40:15Z,StatTrak™ SSG 08 | Memorial (Minimal Wear),3.62,92
2026-03-05T12:40:15Z,StatTrak™ USP-S | Black Lotus (Minimal Wear),65.17,90
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Block-18 (Minimal Wear),18.9,90
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Etch Lord (Minimal Wear),22.71,89
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested),16.14,88
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Blue Ply (Field-Tested),6.63,85
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Light Rail (Field-Tested),22.09,84
2026-03-05T12:40:15Z,StatTrak™ AWP | Capillary (Field-Tested),11.48,83
2026-03-05T12:40:15Z,StatTrak™ Five-SeveN | Scrawl (Minimal Wear),1.72,83
2026-03-05T12:40:15Z,StatTrak™ SSG 08 | Abyss (Field-Tested),6.14,82
2026-03-05T12:40:15Z,StatTrak™ USP-S | Cortex (Minimal Wear),90.83,81
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Light Rail (Minimal Wear),45.48,81
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Elite Build (Minimal Wear),58.06,79
2026-03-05T12:40:15Z,StatTrak™ Five-SeveN | Urban Hazard (Factory New),56.77,79
2026-03-05T12:40:15Z,StatTrak™ AWP | Atheris (Minimal Wear),112.74,79
2026-03-05T12:40:15Z,StatTrak™ MP9 | Nexus (Minimal Wear),2.88,78
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Water Elemental (Minimal Wear),218.85,75
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Inheritance (Field-Tested),652.42,74
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Block-18 (Field-Tested),18.1,74
2026-03-05T12:40:15Z,StatTrak™ MAG-7 | Monster Call (Field-Tested),4.11,73
2026-03-05T12:40:15Z,StatTrak™ MAC-10 | Light Box (Minimal Wear),2.39,73
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Printstream (Minimal Wear),552.33,72
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear),34.0,72
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Etch Lord (Field-Tested),9.88,72
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Searing Rage (Minimal Wear),120.96,72
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Liquidation (Field-Tested),64.19,72
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Redline (Field-Tested),492.92,71
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Magnesium (Minimal Wear),22.22,71
2026-03-05T12:40:15Z,StatTrak™ Glock-18 | Clear Polymer (Minimal Wear),9.76,71
2026-03-05T12:40:15Z,StatTrak™ MP5-SD | Necro Jr. (Minimal Wear),1.41,71
2026-03-05T12:40:15Z,StatTrak™ M4A1-S | Black Lotus (Factory New),269.17,71
2026-03-05T12:40:15Z,StatTrak™ M4A4 | Neo-Noir (Field-Tested),220.93,70
2026-03-05T12:40:15Z,StatTrak™ Desert Eagle | Mecha Industries (Field-Tested),84.69,70
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Legion of Anubis (Minimal Wear),274.81,70
2026-03-05T12:40:15Z,StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested),37.25,70
2026-03-05T12:40:15Z,StatTrak™ Sawed-Off | Analog Input (Field-Tested),7.06,70
2026-03-05T12:40:15Z,StatTrak™ USP-S | Cyrex (Minimal Wear),46.27,69
2026-03-05T12:40:15Z,StatTrak™ AWP | Printstream (Field-Tested),537.35,68
2026-03-05T12:40:15Z,StatTrak™ AWP | Mortis (Field-Tested),54.8,67
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Asiimov (Field-Tested),439.1,67
2026-03-05T12:40:15Z,StatTrak™ SSG 08 | Fever Dream (Minimal Wear),34.74,67
2026-03-05T12:40:15Z,StatTrak™ AK-47 | Head Shot (Minimal Wear),310.59,67
2026-03-05T12:40:15Z,StatTrak™ P90 | Wave Breaker (Minimal Wear),17.0,67
